Unnamed: 0,trialNumber,runNumber,visualSet,audioSet,visual,audio,combinationConditionalProbability,correctResponse,chosenKey,accurate,reward,startTime,stimulusOnsetTime,stimulusOffsetTime,responsePressTime,responseTime,feedbackOnsetTime,feedbackOffsetTime,responseTimeThreshold,totalAccuracy,totalErrorRate,accurateIndex,inaccurateIndex,participantID,stimulusPair
0,1,1,0,2,2,1,0.5,1,1,1,1,0.0099420000000236,0.612051800000017,2.14334689999998,2.14318079999998,1.53112899999996,4.2656629,5.27689359999999,3.5,1.0,0.0,1,1,5,"(2, 1)"
1,2,1,0,2,0,0,0.5,1,1,1,1,5.42479760000003,6.01795770000001,7.82037930000001,7.82020990000001,1.8022522,9.93261580000001,10.9423919,3.5,1.0,0.0,2,1,5,"(0, 0)"
2,3,1,0,2,1,2,0.5,1,1,1,1,11.0160348,11.6068056,13.309413,13.3092414,1.70243579999999,15.4213894,16.4295222,3.5,1.0,0.0,3,1,5,"(1, 2)"
3,4,1,0,2,0,2,0.35,0,0,1,0,16.4460838,17.0367632,18.7508328,18.7506816,1.71391840000001,20.8631588,21.8717572,3.5,1.0,0.0,4,1,5,"(0, 2)"
4,5,1,0,2,2,1,0.5,1,1,1,0,21.8832372,22.4790419,24.0397976,24.0394773,1.56043539999996,26.154142,27.1627979,3.5,1.0,0.0,5,1,5,"(2, 1)"
5,6,1,0,2,2,1,0.5,1,0,0,0,27.1854528,27.775917,29.2575857,29.2573684,1.48145140000003,31.3692759,32.3776797,3.5,0.833333333333333,0.166666666666667,6,1,5,"(2, 1)"
6,7,1,0,2,2,2,0.15,0,1,0,0,32.3850274,32.9789821,34.6988974,34.6988116,1.7198295,36.8106973,37.8188549,3.5,0.714285714285714,0.285714285714286,6,2,5,"(2, 2)"
7,8,1,0,2,0,2,0.35,0,1,0,1,37.8246245,38.4155416,39.9783479,39.9781762,1.56263460000002,42.0882085,43.0961904,3.5,0.625,0.375,6,3,5,"(0, 2)"
8,9,1,0,2,2,1,0.5,1,0,0,1,43.1019214,43.6922245,46.0768826,46.0767968,2.3845723,48.188928,49.196862,3.5,0.555555555555556,0.444444444444444,6,4,5,"(2, 1)"
9,10,1,0,2,0,0,0.5,1,0,0,0,49.2034025,49.7962863,51.9661806,51.9660942,2.16980789999997,54.0780265,55.0860675,3.5,0.5,0.5,6,5,5,"(0, 0)"
10,11,1,0,2,2,0,0.35,0,1,0,0,55.0924777,55.6833749,57.6787653,57.6786786,1.99530370000002,59.7905814,60.7984781,3.5,0.454545454545455,0.545454545454545,6,6,5,"(2, 0)"
11,12,1,0,2,2,1,0.5,1,1,1,1,60.8044297,61.3949831,63.2971194,63.2970314,1.90204829999999,65.4089561,66.4175159,3.5,0.5,0.5,6,7,5,"(2, 1)"
12,13,1,0,2,0,2,0.35,0,1,0,1,66.4231249,67.0150943,69.2334719,69.2333840000001,2.21828970000001,71.3453598,72.3533481,3.5,0.461538461538462,0.538461538461538,7,7,5,"(0, 2)"
13,14,1,0,2,0,2,0.35,0,1,0,0,72.3597529,72.9503033,74.4633642000001,74.4632774,1.51297409999995,76.5752211,77.5835164000001,3.5,0.428571428571429,0.571428571428571,7,8,5,"(0, 2)"
14,15,1,0,2,1,2,0.5,1,0,0,0,77.597494,78.1904058000001,79.6694618,79.5240193,1.33361349999996,81.7735206,82.7810589,3.5,0.4,0.6,7,9,5,"(1, 2)"
15,16,1,0,2,1,2,0.5,1,1,1,1,82.7868185,83.3790385,84.851997,84.8519106000001,1.47287210000002,86.9638398,87.9722971,3.5,0.4375,0.5625,7,10,5,"(1, 2)"
16,17,1,0,2,2,1,0.5,1,1,1,0,87.9783334000001,88.5681173,90.8236635,90.8235771,2.25545980000004,92.9355351,93.9437527000001,3.5,0.470588235294118,0.529411764705882,8,10,5,"(2, 1)"
17,18,1,0,2,2,0,0.35,0,1,0,0,93.9502157,94.5405961,96.0198590000001,95.8840241,1.34342800000002,98.1238226,99.1311336000001,3.5,0.444444444444444,0.555555555555556,9,10,5,"(2, 0)"
