PearceExtra	[35, 4339.015703914931]
Basic	[14, 4461.191832932543]
Transfer	[5, 4485.824590491074]
Pearce	[3, 4586.418267397191]
Asym	[1, 4455.225631078941]
Init	[0, 4602.970279494335]
Extra	[0, 4637.059133201399]
InitExtra	[0, 4802.893801495233]
InitAsym	[0, 4815.340907777915]
InitTransfer	[0, 4718.379581256353]
ExtraAsym	[0, 4851.424581832989]
ExtraTransfer	[0, 4859.815181366012]
AsymTransfer	[0, 4771.716710102657]
InitExtraAsym	[0, 5256.732074923792]
InitExtraTransfer	[0, 5145.54995932014]
InitAsymTransfer	[0, 5148.447293056307]
ExtraAsymTransfer	[0, 5614.394290805245]
InitAsymExtraTransfer	[0, 6033.78717407652]
PearceInit	[0, 4778.282616641524]
PearceAsym	[0, 4853.2365292700215]
PearceTransfer	[0, 4643.479572276936]
PearceInitExtra	[0, 5028.3982641542225]
PearceInitAsym	[0, 5040.202665735605]
PearceInitTransfer	[0, 4863.91118826925]
PearceAsymExtra	[0, 5314.953082017679]
PearceExtraTransfer	[0, 5068.0833399732155]
PearceAsymTransfer	[0, 4949.453653756357]
PearceInitExtraAsym	[0, 5537.655195650606]
PearceInitExtraTransfer	[0, 5335.1916622326935]
PearceInitAsymTransfer	[0, 5297.204884167638]
PearceExtraAsymTransfer	[0, 5822.253507696916]
PearceInitExtraAsymTransfer	[0, 6230.191005427861]
