trialNumber,runNumber,visualSet,audioPair_1,audioPair_2,audioPair_3,tactilePair_1,tactilePair_2,tactilePair_3,visual,audio,tactile,combinationConditionalProbability,correctResponse,chosenKey,accurate,reward,runStartTime,trialStartTime,stimulusOnsetTime,stimulusOffsetTime,responsePressTime,responseTime,responseTimeOver,feedbackOnsetTime,responseTimeThreshold,totalAccuracy,totalErrorRate,accurateIndex,inaccurateIndex,feedbackAccuracy,feedbackOffsetTime,action,stimulusPair
1,1,0,1,0,2,0,1,2,0,,2.0,0.15,1.0,2@,0.0,0.0,3717.0709684,0.0027540000000954,3.47770013161835,5.08218100000022,5.70387729999993,2.22617716838158,6.5822862,7.22228203106124,3,0.0,1.0,1,1,1,8.22228203106124,0.0,"(0, 2)"
2,1,0,1,0,2,0,1,2,1,,1.0,0.5,0.0,4$,0.0,0.0,3717.0709684,8.24023669999997,11.1003976227662,12.6967459000002,12.9797146999999,1.87931707723374,14.1968488000002,15.2427180700292,3,0.0,1.0,1,2,1,16.2427180700292,1.0,"(1, 1)"
3,1,0,1,0,2,0,1,2,2,,2.0,0.5,0.0,2@,1.0,1.0,3717.0709684,16.2477755,19.372291248174,20.9644842000002,21.7717162000004,2.3994249518264,22.4645812000003,23.0626988662311,3,0.333333333333333,0.666666666666667,1,3,1,24.0626988662311,0.0,"(2, 2)"
4,1,0,1,0,2,0,1,2,0,,0.0,0.5,0.0,4$,0.0,0.0,3717.0709684,24.0715047000003,27.596148337946,29.1763384999999,29.7079456000001,2.1117972620541,30.676426,31.7658337285588,3,0.25,0.75,2,3,1,32.7658337285588,1.0,"(0, 0)"
5,1,0,1,0,2,0,1,2,2,,1.0,0.15,1.0,2@,0.0,1.0,3717.0709684,32.7798677000001,35.1763284688304,36.7782247,36.9898320000002,1.81350353116977,38.2785196,38.8159542033068,3,0.2,0.8,2,4,0,39.8159542033068,0.0,"(2, 1)"
6,1,0,1,0,2,0,1,2,1,,0.0,0.15,1.0,2@,0.0,1.0,3717.0709684,39.8209147000002,42.2580048041546,43.8288061000003,44.5668092000001,2.30880439584553,45.3288605000002,45.9824934732173,3,0.166666666666667,0.833333333333333,2,5,0,46.9824934732173,0.0,"(1, 0)"
7,1,0,1,0,2,0,1,2,0,,1.0,0.35,1.0,4$,1.0,1.0,3717.0709684,46.9927615000001,51.4684016129409,53.0392099000001,53.03928,1.57087838705911,54.5392492000001,55.7760607333707,3,0.285714285714286,0.714285714285714,2,6,1,56.7760607333707,1.0,"(0, 1)"
8,1,0,1,0,2,0,1,2,2,,0.0,0.35,1.0,2@,0.0,0.0,3717.0709684,56.7851022,59.4676873441217,61.0381622,61.5418073000001,2.07411995587836,62.5382020000002,63.700899745385,3,0.25,0.75,3,6,1,64.700899745385,0.0,"(2, 0)"
9,1,0,1,0,2,0,1,2,1,,2.0,0.35,1.0,2@,0.0,0.0,3717.0709684,64.7091022,68.3234503465715,69.8940928000002,70.3638421000001,2.04039175342859,71.3941317000003,72.5387194826794,3,0.222222222222222,0.777777777777778,3,7,1,73.5387194826794,0.0,"(1, 2)"
10,1,0,1,0,2,0,1,2,2,,0.0,0.35,1.0,2@,0.0,0.0,3717.0709684,73.5506224000001,77.2160862214819,78.7864617,79.3662858000002,2.15019957851837,80.286501,80.7909744867388,3,0.2,0.8,3,8,1,81.7909744867388,0.0,"(2, 0)"
11,1,0,1,0,2,0,1,2,1,,2.0,0.35,1.0,4$,1.0,1.0,3717.0709684,81.8084026000001,83.8103209850292,85.3803121999999,86.0207391000004,2.21041811497116,86.8803536,87.7330757702944,3,0.272727272727273,0.727272727272727,3,9,1,88.7330757702944,1.0,"(1, 2)"
12,1,0,1,0,2,0,1,2,0,,0.0,0.5,0.0,2@,1.0,1.0,3717.0709684,88.7481232,91.6483885658777,93.2182543000004,93.5832256000003,1.93483703412267,94.7182943000003,95.5612116684838,3,0.333333333333333,0.666666666666667,4,9,1,96.5612116684838,0.0,"(0, 0)"
13,1,0,1,0,2,0,1,2,1,,2.0,0.35,1.0,2@,0.0,0.0,3717.0709684,96.5720288000002,101.349533172408,102.919879,103.2143209,1.86478772759165,104.4199191,105.473957006262,3,0.307692307692308,0.692307692307692,5,9,1,106.473957006262,0.0,"(1, 2)"
14,1,0,1,0,2,0,1,2,0,,1.0,0.35,1.0,2@,0.0,0.0,3717.0709684,106.4811528,108.87321136494,110.4432926,110.4433678,1.5701564350602,111.9433317,112.469730840734,3,0.285714285714286,0.714285714285714,5,10,1,113.469730840734,0.0,"(0, 1)"
15,1,0,1,0,2,0,1,2,2,,2.0,0.5,0.0,4$,0.0,0.0,3717.0709684,113.487727,116.104077388172,117.6747776,118.0878399,1.98376251182844,119.1748166,120.129741984687,3,0.266666666666667,0.733333333333333,5,11,1,121.129741984687,1.0,"(2, 2)"
16,1,0,1,0,2,0,1,2,0,,0.0,0.5,0.0,2@,1.0,0.0,3717.0709684,121.1448516,124.826389406196,126.3966969,126.8037826,1.97739319380389,127.8967365,128.82050356026,3,0.3125,0.6875,5,12,0,129.82050356026,0.0,"(0, 0)"
17,1,0,1,0,2,0,1,2,1,,1.0,0.5,0.0,2@,1.0,0.0,3717.0709684,129.8361353,134.19941888961,135.7698653,136.0413429,1.8419240103899,137.2699041,137.935193115965,3,0.352941176470588,0.647058823529412,6,12,0,138.935193115965,0.0,"(1, 1)"
18,1,0,1,0,2,0,1,2,0,,0.0,0.5,0.0,2@,1.0,1.0,3717.0709684,138.944603,142.597129984186,144.2385477,144.0369638,1.43983381581393,145.738742,147.093492768221,3,0.388888888888889,0.611111111111111,7,12,1,148.093492768221,0.0,"(0, 0)"
19,1,0,1,0,2,0,1,2,1,,1.0,0.5,0.0,4$,0.0,0.0,3717.0709684,148.1030302,150.188198734525,151.7586376,152.7199556,2.53175686547547,153.2586752,154.254664690533,3,0.368421052631579,0.631578947368421,8,12,1,155.254664690533,1.0,"(1, 1)"
20,1,0,1,0,2,0,1,2,2,,2.0,0.5,0.0,2@,1.0,1.0,3717.0709684,155.2595901,159.323195201642,160.8939495,161.4128715,2.08967629835843,162.3939884,163.316659546309,3,0.4,0.6,8,13,1,164.316659546309,0.0,"(2, 2)"
21,1,0,1,0,2,0,1,2,0,,1.0,0.35,1.0,4$,1.0,1.0,3717.0709684,164.3347785,167.906970439996,169.4775824,169.4776533,1.57068286000413,170.9776214,171.554844434287,3,0.428571428571429,0.571428571428571,9,13,1,172.554844434287,1.0,"(0, 1)"
22,1,0,1,0,2,0,1,2,2,,0.0,0.35,1.0,2@,0.0,0.0,3717.0709684,172.5590206,174.821857776725,176.3920387,177.03379,2.21193222327474,177.8920779,178.805843788523,3,0.409090909090909,0.590909090909091,10,13,1,179.805843788523,0.0,"(2, 0)"
23,1,0,1,0,2,0,1,2,0,,1.0,0.35,1.0,4$,1.0,1.0,3717.0709684,179.8158072,182.23581163173,183.8057501,184.7786814,2.54286976827052,185.3057901,186.472757738997,3,0.434782608695652,0.565217391304348,10,14,1,187.472757738997,1.0,"(0, 1)"
24,1,0,1,0,2,0,1,2,1,,2.0,0.35,1.0,2@,0.0,1.0,3717.0709684,187.4896201,190.134337197493,191.7040216,192.8182324,2.68389520250685,193.2040573,194.000902188844,3,0.416666666666667,0.583333333333333,11,14,0,195.000902188844,0.0,"(1, 2)"
25,1,0,1,0,2,0,1,2,0,,0.0,0.5,0.0,4$,0.0,0.0,3717.0709684,195.0131224,199.3318513603,200.9024605,201.9638299,2.63197853969996,202.402498,202.947099798662,3,0.4,0.6,11,15,1,203.947099798662,1.0,"(0, 0)"
26,1,0,1,0,2,0,1,2,2,,2.0,0.5,0.0,2@,1.0,1.0,3717.0709684,203.9546944,208.335738915708,209.9060095,210.1969167,1.86117778429252,211.4060482,212.832629255865,3,0.423076923076923,0.576923076923077,11,16,1,213.832629255865,0.0,"(2, 2)"
27,1,0,1,0,2,0,1,2,1,,1.0,0.5,0.0,2@,1.0,1.0,3717.0709684,213.847195,217.530857753145,219.101235,219.3870434,1.85618564685456,220.6012745,221.04070085977,3,0.444444444444444,0.555555555555556,12,16,1,222.04070085977,0.0,"(1, 1)"
28,1,0,1,0,2,0,1,2,2,,2.0,0.5,0.0,2@,1.0,1.0,3717.0709684,222.0549242,226.893352375404,228.4638462,229.0957116,2.20235922459642,229.9638854,231.341027035625,3,0.464285714285714,0.535714285714286,13,16,1,232.341027035625,0.0,"(2, 2)"
29,1,0,1,0,2,0,1,2,0,,0.0,0.5,0.0,4$,0.0,1.0,3717.0709684,232.3477194,235.819457682047,237.3892484,237.9240238,2.1045661179528,238.8892887,240.059829646187,3,0.448275862068966,0.551724137931034,14,16,0,241.059829646187,1.0,"(0, 0)"
30,1,0,1,0,2,0,1,2,2,,1.0,0.15,1.0,2@,0.0,0.0,3717.0709684,241.0724468,244.346177409956,245.9172151,246.4217078,2.07553039004461,247.417255,248.635881674565,3,0.433333333333333,0.566666666666667,14,17,1,249.635881674565,0.0,"(2, 1)"
31,1,0,1,0,2,0,1,2,0,,2.0,0.15,1.0,2@,0.0,0.0,3717.0709684,249.6470259,252.446293077589,254.0160637,255.0182859,2.57199282241163,255.5161025,256.663746807891,3,0.419354838709677,0.580645161290323,14,18,1,257.663746807891,0.0,"(0, 2)"
