trialNumber,runNumber,visualSet,audioPair_1,audioPair_2,audioPair_3,tactilePair_1,tactilePair_2,tactilePair_3,visual,audio,tactile,combinationConditionalProbability,correctResponse,chosenKey,accurate,reward,runStartTime,trialStartTime,stimulusOnsetTime,stimulusOffsetTime,responsePressTime,responseTime,responseTimeOver,feedbackOnsetTime,responseTimeThreshold,totalAccuracy,totalErrorRate,accurateIndex,inaccurateIndex,feedbackAccuracy,feedbackOffsetTime
1,1,0,1,2,0,2,0,1,2,NaN,1,0.5,2@,2@,1,0,13332.033781,0.0269545999999536,2.96938802887053,4.59331150000071,4.79606050000075,1.82667247113022,6.09343430000081,6.63173926169657,3,1,0,1,1,0,7.63173926169657
2,1,0,1,2,0,2,0,1,0,NaN,2,0.5,2@,,NaN,NaN,13332.033781,7.64311110000017,10.3870947836458,11.9903814999998,13.3874476000001,NaN,13.4904602999995,14.0957949223448,3,1,0,2,1,1,15.0957949223448
3,1,0,1,2,0,2,0,1,1,NaN,0,0.5,2@,,NaN,NaN,13332.033781,15.1130448999993,19.5258726305274,21.1193280000007,22.5261095000005,NaN,22.6194061999995,23.0401312159956,3,1,0,2,1,1,24.0401312159956
4,1,0,1,2,0,2,0,1,2,NaN,2,0.35,4$,,NaN,NaN,13332.033781,24.0545531000007,26.8934729986504,28.4756221000007,29.8938106999994,NaN,29.9756828999998,30.9625248129596,3,1,0,2,1,1,31.9625248129596
5,1,0,1,2,0,2,0,1,1,NaN,1,0.35,4$,,NaN,NaN,13332.033781,31.9786129999993,36.722724557987,38.3281327000004,39.7229231000001,NaN,39.8283891999999,40.5484952866955,3,1,0,2,1,0,41.5484952866955
6,1,0,1,2,0,2,0,1,2,NaN,0,0.15,4$,,NaN,NaN,13332.033781,41.5552066,43.7427542930418,45.314957999999,46.7432320999997,NaN,46.8149811999992,47.3187417150275,3,1,0,2,1,1,48.3187417150275
7,1,0,1,2,0,2,0,1,1,NaN,2,0.15,4$,,NaN,NaN,13332.033781,48.3270668000005,50.3384609910863,51.9101814999995,53.3389466000008,NaN,53.4102046999997,53.9060991213009,3,1,0,2,1,1,54.9060991213009
8,1,0,1,2,0,2,0,1,0,NaN,0,0.35,4$,,NaN,NaN,13332.033781,54.9163521999999,57.1260415874258,58.6973748,60.1261393000004,NaN,60.1974162000006,61.5118658568081,3,1,0,2,1,1,62.5118658568081
9,1,0,1,2,0,2,0,1,2,NaN,2,0.35,4$,,NaN,NaN,13332.033781,62.5234381999999,65.2554097696266,66.8282185000007,68.2554533000002,NaN,68.3282412000008,69.0733737075516,3,1,0,2,1,1,70.0733737075516
10,1,0,1,2,0,2,0,1,1,NaN,1,0.35,4$,,NaN,NaN,13332.033781,70.0804040000003,74.5949683609306,76.1669612999995,77.5951476999999,NaN,77.6669865000003,78.1753396762815,3,1,0,2,1,1,79.1753396762815
11,1,0,1,2,0,2,0,1,0,NaN,0,0.35,4$,,NaN,NaN,13332.033781,79.1888457000005,82.1925159213279,83.7648678000005,85.1929182999993,NaN,85.2648898999996,85.7322910609528,3,1,0,2,1,1,86.7322910609528
12,1,0,1,2,0,2,0,1,2,NaN,1,0.5,2@,,NaN,NaN,13332.033781,86.7458592999992,90.9216677095519,92.4927635000004,93.9216844999992,NaN,93.9927846999999,94.4918790604406,3,1,0,2,1,0,95.4918790604406
13,1,0,1,2,0,2,0,1,1,NaN,0,0.5,2@,,NaN,NaN,13332.033781,95.5039679999991,99.9991499998723,101.570529799999,102.9996328,NaN,103.070552699999,103.616898312723,3,1,0,2,1,1,104.616898312723
14,1,0,1,2,0,2,0,1,0,NaN,1,0.15,4$,,NaN,NaN,13332.033781,104.6289736,109.558092272715,111.129924999999,112.558609199999,NaN,112.629948600001,113.404564477454,3,1,0,2,1,1,114.404564477454
15,1,0,1,2,0,2,0,1,1,NaN,0,0.5,2@,,NaN,NaN,13332.033781,114.4215429,117.864815318204,119.436338899999,120.865362299999,NaN,120.9363622,121.510519594178,3,1,0,2,1,1,122.510519594178
16,1,0,1,2,0,2,0,1,2,NaN,1,0.5,2@,,NaN,NaN,13332.033781,122.5151147,127.212110623699,128.784515400001,130.212221399999,NaN,130.2845373,131.242766474248,3,1,0,2,1,1,132.242766474248
17,1,0,1,2,0,2,0,1,0,NaN,2,0.5,2@,,NaN,NaN,13332.033781,132.254734599999,134.45663216484,136.028600600001,137.4568215,NaN,137.5286235,138.025970596773,3,1,0,2,1,1,139.025970596773
18,1,0,1,2,0,2,0,1,1,NaN,1,0.35,4$,2@,0,0,13332.033781,139.0305986,143.506572479278,145.0195626,143.5617318,0.0551593207219412,146.519775799999,147.061870814478,3,0.5,0.5,2,1,1,148.061870814478
19,1,0,1,2,0,2,0,1,0,NaN,2,0.5,2@,4$,0,0,13332.033781,148.069197000001,152.077159015242,153.1172974,152.6059812,0.52882218475861,154.6173383,156.007414462752,3,0.333333333333333,0.666666666666667,2,2,1,157.007414462752
20,1,0,1,2,0,2,0,1,1,NaN,0,0.5,2@,4$,0,1,13332.033781,157.0122622,161.193717045546,162.172312999999,161.966907,0.77318995445421,163.6723575,165.165457873189,3,0.25,0.75,2,3,0,166.165457873189
21,1,0,1,2,0,2,0,1,2,NaN,1,0.5,2@,,NaN,NaN,13332.033781,166.170870399999,169.554481846581,171.1256839,172.554823799999,NaN,172.6257066,173.324941581914,3,0.25,0.75,2,4,1,174.324941581914
22,1,0,1,2,0,2,0,1,0,NaN,0,0.35,4$,,NaN,NaN,13332.033781,174.3295562,176.726671385304,178.298907300001,179.726681,NaN,179.7989287,180.27590163608,3,0.25,0.75,2,4,0,181.27590163608
23,1,0,1,2,0,2,0,1,1,NaN,1,0.35,4$,,NaN,NaN,13332.033781,181.2833085,184.41883112315,185.990190799999,187.419050500001,NaN,187.4902162,188.65651785497,3,0.25,0.75,2,4,1,189.65651785497
24,1,0,1,2,0,2,0,1,0,NaN,2,0.5,2@,2@,1,1,13332.033781,189.6608822,191.979536887791,192.894708100001,192.691611599999,0.71207471220805,194.3947826,196.353747699721,3,0.4,0.6,2,4,1,197.353747699721
25,1,0,1,2,0,2,0,1,2,NaN,0,0.15,4$,4$,1,1,13332.033781,197.364812100001,199.987675845185,201.2409138,201.032608400001,1.04493255481611,202.741006300001,203.773947748818,3,0.5,0.5,3,4,1,204.773947748818
26,1,0,1,2,0,2,0,1,0,NaN,2,0.5,2@,2@,1,1,13332.033781,204.788267399999,208.502354347798,209.605664999999,208.972005399999,0.469651052200788,211.105705599999,212.028855604885,3,0.571428571428571,0.428571428571429,4,4,1,213.028855604885
27,1,0,1,2,0,2,0,1,2,NaN,1,0.5,2@,,NaN,NaN,13332.033781,213.0460595,216.362886306419,217.935589799999,219.362926399999,NaN,219.4356398,220.795780282235,3,0.571428571428571,0.428571428571429,5,4,1,221.795780282235
28,1,0,1,2,0,2,0,1,0,NaN,2,0.5,2@,4$,0,0,13332.033781,221.8039916,224.492953419285,225.507739999999,225.0467474,0.553793980714545,227.0077791,228.100886494236,3,0.5,0.5,5,4,1,229.100886494236
29,1,0,1,2,0,2,0,1,1,NaN,0,0.5,2@,,NaN,NaN,13332.033781,229.1108919,232.03507524045,233.606882,235.035172100001,NaN,235.1069033,235.818279349738,3,0.5,0.5,5,5,0,236.818279349738
30,1,0,1,2,0,2,0,1,0,NaN,2,0.5,2@,2@,1,1,13332.033781,236.834740300001,240.685955217163,241.791515700001,241.148593100001,0.462637882837953,243.291555600001,244.361342482334,3,0.555555555555556,0.444444444444444,5,5,1,245.361342482334
31,1,0,1,2,0,2,0,1,1,NaN,1,0.35,4$,2@,0,0,13332.033781,245.375813799999,248.101965157452,249.105087599999,248.8975445,0.795579342548081,250.605125599999,252.366947789364,3,0.5,0.5,6,5,1,253.366947789364
32,1,0,1,2,0,2,0,1,0,NaN,0,0.35,4$,4$,1,0,13332.033781,253.3834496,256.158302752452,257.5518228,256.3337722,0.175469447547584,259.0518629,260.505873937862,3,0.545454545454545,0.454545454545455,6,6,0,261.505873937862
33,1,0,1,2,0,2,0,1,2,NaN,1,0.5,2@,4$,0,0,13332.033781,261.524244300001,265.227140512345,266.872469599999,266.663757599999,1.43661708765467,268.3725079,269.408257350797,3,0.5,0.5,7,6,1,270.408257350797
34,1,0,1,2,0,2,0,1,1,NaN,0,0.5,2@,2@,1,1,13332.033781,270.4158149,273.003419551122,274.5753663,275.069712500001,2.06629294887898,276.075467799999,276.885634211887,3,0.538461538461538,0.461538461538462,7,7,1,277.885634211887
35,1,0,1,2,0,2,0,1,2,NaN,2,0.35,4$,4$,1,0,13332.033781,277.890664799999,281.198426819636,282.770319499999,283.0420667,1.84363988036421,284.270358899999,284.897235538312,3,0.571428571428571,0.428571428571429,8,7,0,285.897235538312
36,1,0,1,2,0,2,0,1,0,NaN,1,0.15,4$,2@,0,0,13332.033781,285.9133977,288.512662485296,290.084298600001,290.2824664,1.76980391470352,291.584339200001,292.028719956435,3,0.533333333333333,0.466666666666667,9,7,1,293.028719956435
37,1,0,1,2,0,2,0,1,1,NaN,2,0.15,4$,2@,0,0,13332.033781,293.0366025,297.23843228284,298.8103111,299.329462600001,2.0910303171604,300.3103505,301.050721495791,3,0.5,0.5,9,8,1,302.050721495791
38,1,0,1,2,0,2,0,1,0,NaN,0,0.35,4$,2@,0,0,13332.033781,302.0615683,304.055761232496,305.626992,306.0114268,1.95566556750418,307.127031100001,308.509705344526,3,0.470588235294118,0.529411764705882,9,9,1,309.509705344526
39,1,0,1,2,0,2,0,1,2,NaN,2,0.35,4$,2@,0,0,13332.033781,309.518637200001,311.669168523931,313.2410592,313.593588899999,1.92442037606816,314.7410987,315.308366947496,3,0.444444444444444,0.555555555555556,9,10,1,316.308366947496
40,1,0,1,2,0,2,0,1,1,NaN,0,0.5,2@,2@,1,1,13332.033781,316.3248828,320.429420809884,322.0023225,323.068652599999,2.63923179011545,323.5023623,324.172980097424,3,0.473684210526316,0.526315789473684,9,11,1,325.172980097424
41,1,0,1,2,0,2,0,1,0,NaN,1,0.15,4$,2@,0,1,13332.033781,325.182912,328.41862454564,329.9906935,330.0677896,1.6491650543594,331.4907324,332.880482071259,3,0.45,0.55,10,11,0,333.880482071259
42,1,0,1,2,0,2,0,1,1,NaN,0,0.5,2@,2@,1,1,13332.033781,333.8910566,336.697741500104,338.269012799999,338.590582999999,1.89284149989544,339.769053,340.697620668574,3,0.476190476190476,0.523809523809524,10,12,1,341.697620668574
43,1,0,1,2,0,2,0,1,2,NaN,2,0.35,4$,4$,1,0,13332.033781,341.7150416,344.382246369822,345.95484,346.389046,2.00679963017865,347.4548801,348.795170643607,3,0.5,0.5,11,12,0,349.795170643607
