trialNumber,runNumber,visualSet,audioPair_1,audioPair_2,audioPair_3,tactilePair_1,tactilePair_2,tactilePair_3,visual,audio,tactile,combinationConditionalProbability,correctResponse,chosenKey,accurate,reward,runStartTime,trialStartTime,stimulusOnsetTime,stimulusOffsetTime,responsePressTime,responseTime,responseTimeOver,feedbackOnsetTime,responseTimeThreshold,totalAccuracy,totalErrorRate,accurateIndex,inaccurateIndex,feedbackAccuracy,feedbackOffsetTime
1,1,0,0,1,2,0,2,1,0,1,NaN,0.35,2@,4$,0,1,28461.224231,0.00280579999889596,2.96938802887234,4.47744840000087,4.68505910000022,1.71567107112787,5.97754949999944,6.63173926169839,3,0,1,1,1,0,7.63173926169839
2,1,0,0,1,2,0,2,1,1,0,NaN,0.15,2@,4$,0,0,28461.224231,7.6481414000009,10.3870947836476,11.8902006999997,12.1766720000014,1.78957721635379,13.3902963,14.0957949223448,3,0,1,1,2,1,15.0957949223448
3,1,0,0,1,2,0,2,1,0,2,NaN,0.15,2@,2@,1,1,28461.224231,15.1048951999983,19.5258726305256,20.7175325999997,20.5825478000006,1.05667516947506,22.2176346000015,23.0401312159956,3,0.333333333333333,0.666666666666667,1,3,1,24.0401312159956
4,1,0,0,1,2,0,2,1,1,1,NaN,0.5,4$,2@,0,0,28461.224231,24.0465428999996,26.8934729986504,28.3962527000003,29.2606728999999,2.36719990134952,29.8963332999992,30.9625248129596,3,0.25,0.75,2,3,1,31.9625248129596
5,1,0,0,1,2,0,2,1,2,0,NaN,0.35,2@,4$,0,0,28461.224231,31.9705161999991,36.7227245579852,38.2253037999981,38.4806360000002,1.75791144201503,39.7255622999983,40.5484952866973,3,0.2,0.8,2,4,1,41.5484952866973
6,1,0,0,1,2,0,2,1,1,2,NaN,0.35,2@,4$,0,0,28461.224231,41.5628566000014,43.7427542930418,45.310919399999,45.1753609000007,1.43260660695887,46.8111019999997,47.3187417150257,3,0.166666666666667,0.833333333333333,2,5,1,48.3187417150257
7,1,0,0,1,2,0,2,1,0,0,NaN,0.5,4$,2@,0,0,28461.224231,48.3357477999998,50.3384609910863,51.8413987999993,51.9956224000016,1.65716140891527,53.3414376000001,53.9060991213009,3,0.142857142857143,0.857142857142857,2,6,1,54.9060991213009
8,1,0,0,1,2,0,2,1,2,2,NaN,0.5,4$,2@,0,1,28461.224231,54.9097954999997,57.1260415874276,58.628708799999,59.3347199999989,2.20867841257132,60.1287468999981,61.5118658568099,3,0.125,0.875,2,7,0,62.5118658568099
9,1,0,0,1,2,0,2,1,1,1,NaN,0.5,4$,2@,0,0,28461.224231,62.5155930000001,65.2554097696266,66.7577726999989,66.8533334999993,1.59792373037271,68.2578114999997,69.0733737075534,3,0.111111111111111,0.888888888888889,2,8,1,70.0733737075534
10,1,0,0,1,2,0,2,1,2,0,NaN,0.35,2@,2@,1,1,28461.224231,70.0892434000016,74.5949683609324,76.0971944000012,76.9504444999984,2.35547613906601,77.5972322000016,78.1753396762797,3,0.2,0.8,2,9,1,79.1753396762797
