trialNumber,runNumber,visualSet,audioPair_1,audioPair_2,audioPair_3,tactilePair_1,tactilePair_2,tactilePair_3,visual,audio,tactile,combinationConditionalProbability,correctResponse,chosenKey,accurate,reward,runStartTime,trialStartTime,stimulusOnsetTime,stimulusOffsetTime,responsePressTime,responseTime,responseTimeOver,feedbackOnsetTime,responseTimeThreshold,totalAccuracy,totalErrorRate,accurateIndex,inaccurateIndex,feedbackAccuracy,feedbackOffsetTime
1,1,0,1,2,0,0,2,1,2,1,NaN,0.35,4$,4$,1,0,27395.4792709,0.00270069999896805,2.2075770762458,3.71536230000129,4.52078640000036,2.31320932375456,5.21546300000045,6.24258346308852,3,1,0,1,1,0,7.24258346308852
2,1,0,1,2,0,0,2,1,1,2,NaN,0.5,2@,4$,0,0,27395.4792709,7.25612249999904,11.4497872554493,12.9533900999995,13.2913345000015,1.8415472445522,14.4534838,15.3984944355943,3,0.5,0.5,2,1,1,16.3984944355943
3,1,0,1,2,0,0,2,1,2,0,NaN,0.5,2@,2@,1,1,27395.4792709,16.4145425999995,19.874513135579,21.377304900001,21.6904666000009,1.81595346442191,22.8774389999999,23.9684477573428,3,0.666666666666667,0.333333333333333,2,2,1,24.9684477573428
4,1,0,1,2,0,0,2,1,0,1,NaN,0.5,2@,2@,1,1,27395.4792709,24.9723598000019,28.4336039878581,29.9364243000018,30.2934729000008,1.8598689121427,31.4365060000018,32.4160738203464,3,0.75,0.25,3,2,1,33.4160738203464
5,1,0,1,2,0,0,2,1,2,0,NaN,0.5,2@,2@,1,1,27395.4792709,33.430378699999,36.071813325947,37.6344978000016,37.4984206000008,1.42660727405382,39.1347461000005,39.9488725867741,3,0.8,0.2,4,2,1,40.9488725867741
6,1,0,1,2,0,0,2,1,1,2,NaN,0.5,2@,4$,0,0,27395.4792709,40.9538503000003,44.4735408320303,45.9767171999993,46.2854036999997,1.81186286796947,47.4769521000017,48.7433302352511,3,0.666666666666667,0.333333333333333,5,2,1,49.7433302352511
7,1,0,1,2,0,0,2,1,0,1,NaN,0.5,2@,4$,0,0,27395.4792709,49.7468966000015,52.620980436408,54.1234363000003,54.3582234000023,1.73724296359433,55.6234757999991,56.1993161833743,3,0.571428571428571,0.428571428571429,5,3,1,57.1993161833743
8,1,0,1,2,0,0,2,1,1,2,NaN,0.5,2@,2@,1,1,27395.4792709,57.2034177999994,60.1618571999825,61.6644276000006,62.0102593000011,1.84840210001857,63.1644670999995,63.8007986193261,3,0.625,0.375,5,4,1,64.8007986193261
9,1,0,1,2,0,0,2,1,2,0,NaN,0.5,2@,2@,1,0,27395.4792709,64.8094476000006,67.114048802614,68.6530711000014,68.5174011000017,1.40335229738776,70.1531109999996,71.4522449229371,3,0.666666666666667,0.333333333333333,6,4,0,72.4522449229371
10,1,0,1,2,0,0,2,1,0,1,NaN,0.5,2@,2@,1,1,27395.4792709,72.4665812000021,74.6917093228803,76.1943353000024,76.4143560000011,1.72264667712079,77.6943744000018,78.4989644443449,3,0.7,0.3,7,4,1,79.4989644443449
11,1,0,1,2,0,0,2,1,1,0,NaN,0.35,4$,4$,1,0,27395.4792709,79.5063708000016,82.850498611886,84.3527169000008,84.7974280000017,1.94692938811568,85.8527558000023,86.5467098606096,3,0.727272727272727,0.272727272727273,8,4,0,87.5467098606096
12,1,0,1,2,0,0,2,1,0,2,NaN,0.35,4$,2@,0,1,27395.4792709,87.5638600999991,90.7218152894457,92.2243773000009,92.483860700002,1.76204541055631,93.7244152999992,94.944295922749,3,0.666666666666667,0.333333333333333,9,4,0,95.944295922749
13,1,0,1,2,0,0,2,1,1,1,NaN,0.15,4$,4$,1,1,27395.4792709,95.9549761000017,99.828782259352,101.331316399999,101.6052341,1.7764518406475,102.831356300001,103.88171070371,3,0.692307692307692,0.307692307692308,9,5,1,104.88171070371
14,1,0,1,2,0,0,2,1,0,0,NaN,0.15,4$,2@,0,0,27395.4792709,104.896594400001,107.568732587984,109.1436841,109.0044604,1.4357278120151,110.643724500002,111.197496366098,3,0.642857142857143,0.357142857142857,10,5,1,112.197496366098
15,1,0,1,2,0,0,2,1,2,2,NaN,0.15,4$,4$,1,1,27395.4792709,112.203372300002,114.469207160171,115.973082799999,115.8344287,1.36522153982878,117.4731197,118.411607427934,3,0.666666666666667,0.333333333333333,10,6,1,119.411607427934
16,1,0,1,2,0,0,2,1,1,0,NaN,0.35,4$,4$,1,1,27395.4792709,119.426818300002,122.587570293141,124.2251402,124.087335200002,1.49976490686095,125.725216999999,126.380147302854,3,0.6875,0.3125,11,6,1,127.380147302854
17,1,0,1,2,0,0,2,1,0,2,NaN,0.35,4$,2@,0,0,27395.4792709,127.384053599999,129.674011621282,131.1764239,131.638565199999,1.96455357871673,132.676464200002,133.519659212969,3,0.647058823529412,0.352941176470588,12,6,1,134.519659212969
18,1,0,1,2,0,0,2,1,2,1,NaN,0.35,4$,2@,0,0,27395.4792709,134.524066000002,138.730352666978,140.169542600001,140.0282439,1.2978912330218,141.6695827,142.277858433583,3,0.611111111111111,0.388888888888889,12,7,1,143.277858433583
19,1,0,1,2,0,0,2,1,1,0,NaN,0.35,4$,4$,1,1,27395.4792709,143.282267400002,145.44900744261,146.9512392,147.4014943,1.95248685738989,148.451279200002,149.183905852649,3,0.631578947368421,0.368421052631579,12,8,1,150.183905852649
20,1,0,1,2,0,0,2,1,0,1,NaN,0.5,2@,4$,0,0,27395.4792709,150.1885224,152.398598087013,153.901017600001,154.2908866,1.89228851298685,155.401056900002,156.332602241735,3,0.6,0.4,13,8,1,157.332602241735
21,1,0,1,2,0,0,2,1,2,0,NaN,0.5,2@,2@,1,1,27395.4792709,157.345172699999,159.826947583915,161.237843499999,161.099552,1.2726044160845,162.7378837,163.497587304097,3,0.619047619047619,0.380952380952381,13,9,1,164.497587304097
22,1,0,1,2,0,0,2,1,0,2,NaN,0.35,4$,4$,1,1,27395.4792709,164.501835400002,168.47383192732,170.035290899999,169.8945981,1.42076617267958,171.5353316,172.811307296703,3,0.636363636363636,0.363636363636364,14,9,1,173.811307296703
23,1,0,1,2,0,0,2,1,2,1,NaN,0.35,4$,4$,1,1,27395.4792709,173.8273223,177.768982710058,179.2712268,179.366411499999,1.59742878994075,180.7712655,181.338545443687,3,0.652173913043478,0.347826086956522,15,9,1,182.338545443687
24,1,0,1,2,0,0,2,1,0,2,NaN,0.35,4$,4$,1,0,27395.4792709,182.3516882,184.896152566715,186.4112694,186.269589800002,1.3734372332874,187.9113081,188.623443074601,3,0.666666666666667,0.333333333333333,16,9,0,189.623443074601
25,1,0,1,2,0,0,2,1,1,1,NaN,0.15,4$,4$,1,1,27395.4792709,189.627307900002,192.414808242247,193.917414700001,193.929613700002,1.51480545775485,195.417453599999,196.767364641139,3,0.68,0.32,17,9,1,197.767364641139
26,1,0,1,2,0,0,2,1,2,0,NaN,0.5,2@,2@,1,0,27395.4792709,197.7828692,201.48026637717,202.939698599999,202.801571,1.32130462283021,204.439739000001,205.933140887515,3,0.692307692307692,0.307692307692308,18,9,0,206.933140887515
27,1,0,1,2,0,0,2,1,1,2,NaN,0.5,2@,2@,1,1,27395.4792709,206.941364900002,209.710721380259,211.213281100001,211.465619400002,1.75489801974254,212.713319999999,213.51634699589,3,0.703703703703704,0.296296296296296,19,9,1,214.51634699589
28,1,0,1,2,0,0,2,1,0,1,NaN,0.5,2@,2@,1,1,27395.4792709,214.531622000002,219.50826067396,220.974572300001,220.835514400002,1.32725372604182,222.474611500002,223.381227402147,3,0.714285714285714,0.285714285714286,20,9,1,224.381227402147
29,1,0,1,2,0,0,2,1,1,0,NaN,0.35,4$,4$,1,1,27395.4792709,224.390762499999,227.614132859326,229.0543751,228.912521500002,1.29838864067642,230.554415000002,231.238062802095,3,0.724137931034483,0.275862068965517,21,9,1,232.238062802095
30,1,0,1,2,0,0,2,1,2,1,NaN,0.35,4$,4$,1,1,27395.4792709,232.2481539,234.479771713828,236.0320823,235.892676899999,1.41290518617097,237.5321224,238.280678408159,3,0.733333333333333,0.266666666666667,22,9,1,239.280678408159
31,1,0,1,2,0,0,2,1,0,0,NaN,0.15,4$,2@,0,1,27395.4792709,239.287833300001,244.092140114321,245.5942794,245.8495621,1.75742198567968,247.094319100001,247.595268340894,3,0.709677419354839,0.290322580645161,23,9,0,248.595268340894
32,1,0,1,2,0,0,2,1,1,2,NaN,0.5,2@,2@,1,0,27395.4792709,248.598948999999,251.72425255807,253.226749199999,253.386972600001,1.66272004193161,254.726787300002,256.121486632481,3,0.71875,0.28125,23,10,0,257.121486632481
33,1,0,1,2,0,0,2,1,0,1,NaN,0.5,2@,2@,1,1,27395.4792709,257.137869900002,259.444966842395,261.060229800001,260.917353600002,1.47238675760673,262.560271099999,263.876912842632,3,0.727272727272727,0.272727272727273,24,10,1,264.876912842632
34,1,0,1,2,0,0,2,1,2,0,NaN,0.5,2@,2@,1,1,27395.4792709,264.880473500001,268.444909326456,269.6518951,269.512709499999,1.06780017354322,271.1519352,272.324655865854,3,0.735294117647059,0.264705882352941,25,10,1,273.324655865854
35,1,0,1,2,0,0,2,1,0,2,NaN,0.35,4$,4$,1,1,27395.4792709,273.3361663,275.41362500926,276.646121000002,276.4994071,1.08578209074039,278.146160700002,279.880255640957,3,0.742857142857143,0.257142857142857,26,10,1,280.880255640957
36,1,0,1,2,0,0,2,1,2,0,NaN,0.5,2@,2@,1,1,27395.4792709,280.893161700002,284.467406445059,285.811563800002,285.670712400002,1.20330595494306,287.311604300001,288.797654343391,3,0.75,0.25,27,10,1,289.797654343391
37,1,0,1,2,0,0,2,1,1,2,NaN,0.5,2@,2@,1,1,27395.4792709,289.818268700001,293.226667409872,294.7289361,295.2184858,1.99181839012817,296.228976000002,297.646938626567,3,0.756756756756757,0.243243243243243,28,10,1,298.646938626567
38,1,0,1,2,0,0,2,1,0,1,NaN,0.5,2@,2@,1,1,27395.4792709,298.659690799999,302.324011401946,303.9080574,303.766625799999,1.44261439805268,305.408097399999,305.854900576316,3,0.763157894736842,0.236842105263158,29,10,1,306.854900576316
39,1,0,1,2,0,0,2,1,1,0,NaN,0.35,4$,4$,1,1,27395.4792709,306.867562399999,308.982817549106,310.356850700002,310.2126923,1.22987475089394,311.856890300001,312.994744099611,3,0.769230769230769,0.230769230769231,30,10,1,313.994744099611
40,1,0,1,2,0,0,2,1,2,2,NaN,0.15,4$,4$,1,1,27395.4792709,314.007241400002,316.954570292117,318.212277000002,318.072658500001,1.11808820788428,319.712316000001,321.401819796494,3,0.775,0.225,31,10,1,322.401819796494
41,1,0,1,2,0,0,2,1,0,1,NaN,0.5,2@,2@,1,1,27395.4792709,322.4150453,326.157310988983,327.618209,327.476736299999,1.31942531101595,329.118248900002,329.683605773826,3,0.780487804878049,0.219512195121951,32,10,1,330.683605773826
42,1,0,1,2,0,0,2,1,2,2,NaN,0.15,4$,4$,1,1,27395.4792709,330.6892682,334.506075799727,335.826666100002,335.683740500001,1.17766470027345,337.3267056,338.771022992911,3,0.785714285714286,0.214285714285714,33,10,1,339.771022992911
43,1,0,1,2,0,0,2,1,0,0,NaN,0.15,4$,4$,1,1,27395.4792709,339.781027100002,342.64530980623,344.205961600001,344.065784599999,1.42047479376924,345.706001400002,346.707277976075,3,0.790697674418605,0.209302325581395,34,10,1,347.707277976075
44,1,0,1,2,0,0,2,1,1,2,NaN,0.5,2@,2@,1,1,27395.4792709,347.7217724,350.409082736667,352.036404099999,351.8907688,1.48168606333275,353.536445199999,354.240677819686,3,0.795454545454545,0.204545454545455,35,10,1,355.240677819686
45,1,0,1,2,0,0,2,1,2,1,NaN,0.35,4$,4$,1,1,27395.4792709,355.245512100002,359.420589017645,360.7203649,360.5775087,1.15691968235478,362.220419100002,363.262463203384,3,0.8,0.2,36,10,1,364.262463203384
46,1,0,1,2,0,0,2,1,1,2,NaN,0.5,2@,4$,0,1,27395.4792709,364.270417700001,368.12921611737,369.631539099999,370.283090299999,2.15387418262981,371.131577799999,372.259925370745,3,0.782608695652174,0.217391304347826,37,10,0,373.259925370745
47,1,0,1,2,0,0,2,1,2,1,NaN,0.35,4$,4$,1,1,27395.4792709,373.2634956,376.336563018158,377.930901399999,377.790518100002,1.45395508184447,379.430941499999,380.772043298515,3,0.787234042553192,0.212765957446808,37,11,1,381.772043298515
48,1,0,1,2,0,0,2,1,1,0,NaN,0.35,4$,4$,1,0,27395.4792709,381.786681600002,384.238638329804,385.599053400001,385.4598458,1.22120747019653,387.099093200002,388.263595242479,3,0.791666666666667,0.208333333333333,38,11,0,389.263595242479
49,1,0,1,2,0,0,2,1,0,2,NaN,0.35,4$,4$,1,1,27395.4792709,389.277073199999,392.248823840906,393.562749500001,393.421535699999,1.1727118590934,395.062790300002,396.573394729516,3,0.795918367346939,0.204081632653061,39,11,1,397.573394729516
50,1,0,1,2,0,0,2,1,2,1,NaN,0.35,4$,4$,1,1,27395.4792709,397.584654900002,399.886442357849,401.3888023,401.4856746,1.59923224215163,402.888842,403.832560828978,3,0.8,0.2,40,11,1,404.832560828978
51,1,0,1,2,0,0,2,1,1,0,NaN,0.35,4$,4$,1,1,27395.4792709,404.841536600001,409.011252390901,410.475737600002,410.3308354,1.31958300909901,411.976065300001,412.941407951235,3,0.803921568627451,0.196078431372549,41,11,1,413.941407951235
52,1,0,1,2,0,0,2,1,0,2,NaN,0.35,4$,4$,1,1,27395.4792709,413.949960400001,417.397870670273,418.581918800002,418.440804400001,1.04293372972825,420.081958800001,421.556504846703,3,0.807692307692308,0.192307692307692,42,11,1,422.556504846703
53,1,0,1,2,0,0,2,1,2,0,NaN,0.5,2@,2@,1,1,27395.4792709,422.5603204,425.754183144461,426.8539495,426.707573800002,0.953390655540716,428.353989700001,429.845843802123,3,0.811320754716981,0.188679245283019,43,11,1,430.845843802123
54,1,0,1,2,0,0,2,1,0,1,NaN,0.5,2@,2@,1,0,27395.4792709,430.850182000002,433.363370328774,434.865655199999,434.9517949,1.58842457122591,436.3656954,437.796252961667,3,0.814814814814815,0.185185185185185,44,11,0,438.796252961667
55,1,0,1,2,0,0,2,1,1,2,NaN,0.5,2@,2@,1,1,27395.4792709,438.8062651,443.685767198298,444.887779500001,444.739889700002,1.05412250170411,446.3878205,448.165567022719,3,0.818181818181818,0.181818181818182,45,11,1,449.165567022719
56,1,0,1,2,0,0,2,1,0,1,NaN,0.5,2@,2@,1,1,27395.4792709,449.182640300001,451.766510503428,453.354413699999,453.207927800002,1.44141729657349,454.854454600001,455.647441018365,3,0.821428571428571,0.178571428571429,46,11,1,456.647441018365
57,1,0,1,2,0,0,2,1,2,0,NaN,0.5,2@,2@,1,1,27395.4792709,456.6563193,458.814320090933,459.898923200002,459.753884100002,0.939564009069727,461.398965100001,462.374612279044,3,0.824561403508772,0.175438596491228,47,11,1,463.374612279044
58,1,0,1,2,0,0,2,1,1,2,NaN,0.5,2@,2@,1,1,27395.4792709,463.379143300001,466.157190507205,467.6595915,467.7499995,1.59280899279474,469.159632800001,470.0835291523,3,0.827586206896552,0.172413793103448,48,11,1,471.0835291523
59,1,0,1,2,0,0,2,1,2,0,NaN,0.5,2@,2@,1,0,27395.4792709,471.087568999999,474.088986516221,475.036505700002,474.891864500001,0.80287798378049,476.536550299999,478.343370157523,3,0.830508474576271,0.169491525423729,49,11,0,479.343370157523
60,1,0,1,2,0,0,2,1,1,1,NaN,0.15,4$,2@,0,0,27395.4792709,479.360603100002,482.778097941431,484.280446700002,484.7982152,2.02011725856937,485.780487200002,486.628554401985,3,0.816666666666667,0.183333333333333,50,11,1,487.628554401985
1,2,1,1,2,0,0,2,1,2,NaN,1,0.5,2@,2@,1,1,27949.9664322,0.000939199999265838,2.18384076507209,3.7887023000003,3.99600170000122,1.81216093492912,5.28874160000123,5.88942635894637,3,1,0,1,1,1,6.88942635894637
2,2,1,1,2,0,0,2,1,1,NaN,2,0.5,2@,4$,0,1,27949.9664322,6.8993842000018,10.2359906184938,11.8324481000018,12.415336500002,2.1793458815082,13.3324882000015,14.0016498502191,3,0.5,0.5,2,1,0,15.0016498502191
3,2,1,1,2,0,0,2,1,0,NaN,0,0.5,2@,2@,1,1,27949.9664322,15.007008200002,17.443528420612,19.0398485000005,19.5347316000007,2.09120317938869,20.539888700001,21.5603480441496,3,0.666666666666667,0.333333333333333,2,2,1,22.5603480441496
4,2,1,1,2,0,0,2,1,2,NaN,1,0.5,2@,2@,1,0,27949.9664322,22.5639768000001,27.3100623427817,28.8914570000015,28.9838268000021,1.67376445722039,30.3914965000004,31.1005959384638,3,0.75,0.25,3,2,0,32.1005959384638
5,2,1,1,2,0,0,2,1,1,NaN,0,0.15,4$,4$,1,1,27949.9664322,32.1061745000006,36.8091100800375,38.4123264000009,39.0778919000004,2.2687818199629,39.9123666000014,40.7470836545253,3,0.8,0.2,4,2,1,41.7470836545253
6,2,1,1,2,0,0,2,1,0,NaN,2,0.35,4$,2@,0,0,27949.9664322,41.7654570000013,43.9850804284433,45.5570393000016,45.9835679000025,1.9984874715592,47.0570802000002,48.3555864158916,3,0.666666666666667,0.333333333333333,5,2,1,49.3555864158916
7,2,1,1,2,0,0,2,1,2,NaN,1,0.5,2@,2@,1,1,27949.9664322,49.3722598999993,51.6607249114131,53.2314767000025,53.5166955999994,1.85597068858624,54.7315167000015,55.6148844146119,3,0.714285714285714,0.285714285714286,5,3,1,56.6148844146119
8,2,1,1,2,0,0,2,1,1,NaN,2,0.5,2@,2@,1,1,27949.9664322,56.6290571000027,59.3443584577726,60.9155207000003,61.2567229000015,1.91236444222886,62.4155600000013,63.1151922466888,3,0.75,0.25,6,3,1,64.1151922466888
9,2,1,1,2,0,0,2,1,0,NaN,0,0.5,2@,2@,1,1,27949.9664322,64.1191562000022,66.9512953746671,68.5225711999992,68.8183172999998,1.86702192533266,70.0226110000003,71.0735994479619,3,0.777777777777778,0.222222222222222,7,3,1,72.0735994479619
10,2,1,1,2,0,0,2,1,2,NaN,1,0.5,2@,4$,0,0,27949.9664322,72.0777687000009,74.5125150087551,76.0833659000018,76.1780139000002,1.66549889124508,77.5834065000017,78.6652904440016,3,0.7,0.3,8,3,1,79.6652904440016
11,2,1,1,2,0,0,2,1,1,NaN,2,0.5,2@,2@,1,1,27949.9664322,79.6688649000025,83.4999370326987,85.0710223999995,85.3713266000013,1.87138956730269,86.5710629000023,87.2431832857874,3,0.727272727272727,0.272727272727273,8,4,1,88.2431832857874
12,2,1,1,2,0,0,2,1,2,NaN,0,0.35,4$,2@,0,0,27949.9664322,88.2583560000021,91.5795858145721,93.1884587000022,92.9698639000017,1.3902780854296,94.6884993000021,95.487808475551,3,0.666666666666667,0.333333333333333,9,4,1,96.487808475551
13,2,1,1,2,0,0,2,1,0,NaN,1,0.15,4$,4$,1,1,27949.9664322,96.499255900002,99.6669110225594,101.238673100001,101.319874200002,1.65296317744287,102.738713700001,103.261868590409,3,0.692307692307692,0.307692307692308,9,5,1,104.261868590409
14,2,1,1,2,0,0,2,1,2,NaN,2,0.15,4$,2@,0,0,27949.9664322,104.273158300002,107.052166198097,108.623068100002,109.252021600001,2.19985540190464,110.123108400003,111.472189743396,3,0.642857142857143,0.357142857142857,10,5,1,112.472189743396
15,2,1,1,2,0,0,2,1,0,NaN,0,0.5,2@,2@,1,0,27949.9664322,112.480800100002,115.585443782431,117.156004800003,117.8980987,2.31265491756858,118.6562658,119.189292660132,3,0.666666666666667,0.333333333333333,10,6,0,120.189292660132
16,2,1,1,2,0,0,2,1,1,NaN,1,0.35,4$,2@,0,0,27949.9664322,120.204792300003,122.62003393528,124.190777300002,124.1991327,1.57909876471967,125.6908167,126.519213031592,3,0.625,0.375,11,6,1,127.519213031592
17,2,1,1,2,0,0,2,1,2,NaN,0,0.35,4$,2@,0,1,27949.9664322,127.528044800001,131.230428129711,132.8020124,133.547400300002,2.31697217029068,134.3020588,135.44602510906,3,0.588235294117647,0.411764705882353,11,7,0,136.44602510906
18,2,1,1,2,0,0,2,1,1,NaN,1,0.35,4$,4$,1,1,27949.9664322,136.452984400003,138.456865369255,140.027992900003,140.701140500001,2.24427513074625,141.5280332,142.733037011472,3,0.611111111111111,0.388888888888889,11,8,1,143.733037011472
19,2,1,1,2,0,0,2,1,0,NaN,2,0.35,4$,4$,1,1,27949.9664322,143.7431062,145.971773464458,147.542710500002,147.9042687,1.93249523554186,149.042753000002,149.958635793511,3,0.631578947368421,0.368421052631579,12,8,1,150.958635793511
20,2,1,1,2,0,0,2,1,2,NaN,0,0.35,4$,2@,0,0,27949.9664322,150.9663822,153.358099155481,154.830777000003,154.622973100002,1.26487394452124,156.330817100003,157.00828035043,3,0.6,0.4,13,8,1,158.00828035043
21,2,1,1,2,0,0,2,1,1,NaN,2,0.5,2@,4$,0,0,27949.9664322,158.023103200001,162.474386006579,164.0451135,164.8210726,2.3466865934206,165.545153900002,166.958494532591,3,0.571428571428571,0.428571428571429,13,9,1,167.958494532591
22,2,1,1,2,0,0,2,1,0,NaN,1,0.15,4$,2@,0,1,27949.9664322,167.9654219,171.024427782708,172.5959735,172.631520500003,1.60709271729502,174.096012600003,175.221032993759,3,0.545454545454545,0.454545454545455,13,10,0,176.221032993759
23,2,1,1,2,0,0,2,1,2,NaN,0,0.35,4$,2@,0,0,27949.9664322,176.224520700001,179.122772490871,180.592918500002,180.383061100001,1.26028860912993,182.092960800001,182.986166012739,3,0.521739130434783,0.478260869565217,13,11,1,183.986166012739
24,2,1,1,2,0,0,2,1,0,NaN,2,0.35,4$,2@,0,0,27949.9664322,183.997021900002,187.71034376806,189.2811803,189.677175100001,1.96683133194165,190.781219200002,191.414607646944,3,0.5,0.5,13,12,1,192.414607646944
25,2,1,1,2,0,0,2,1,1,NaN,1,0.35,4$,2@,0,1,27949.9664322,192.4215606,196.075463950143,197.646694000003,198.341579200001,2.26611524985856,199.146733100002,199.663326993821,3,0.48,0.52,13,13,0,200.663326993821
26,2,1,1,2,0,0,2,1,2,NaN,2,0.15,4$,2@,0,0,27949.9664322,200.679313799999,204.803059183898,206.373975800001,206.727112600001,1.92405341610356,207.874029300001,208.636235618873,3,0.461538461538462,0.538461538461538,13,14,1,209.636235618873
27,2,1,1,2,0,0,2,1,0,NaN,0,0.5,2@,4$,0,0,27949.9664322,209.639891000003,213.022070300933,214.5928546,215.0888213,2.06675099906715,216.092895100002,217.066535408117,3,0.444444444444444,0.555555555555556,13,15,1,218.066535408117
28,2,1,1,2,0,0,2,1,1,NaN,1,0.35,4$,4$,1,1,27949.9664322,218.078701300001,221.693411536555,223.263896300003,223.869248499999,2.17583696344445,224.7639356,225.678605451107,3,0.464285714285714,0.535714285714286,13,16,1,226.678605451107
29,2,1,1,2,0,0,2,1,0,NaN,0,0.5,2@,4$,0,0,27949.9664322,226.686609300003,231.224553128664,232.795954700003,233.401488700001,2.1769355713368,234.2959935,235.004614295991,3,0.448275862068966,0.551724137931034,14,16,1,236.004614295991
30,2,1,1,2,0,0,2,1,1,NaN,2,0.5,2@,2@,1,1,27949.9664322,236.0119638,239.662191076783,241.233088700003,241.6589269,1.99673582321702,242.733129200002,244.042849149406,3,0.466666666666667,0.533333333333333,14,17,1,245.042849149406
31,2,1,1,2,0,0,2,1,0,NaN,0,0.5,2@,4$,0,1,27949.9664322,245.053718000003,249.480404858215,251.051481800001,251.813036700001,2.33263184178577,252.551522000002,253.236659996761,3,0.451612903225806,0.548387096774194,15,17,0,254.236659996761
32,2,1,1,2,0,0,2,1,2,NaN,1,0.5,2@,4$,0,0,27949.9664322,254.245583300002,257.240302475759,258.810582500002,259.809252400002,2.5689499242435,260.310621799999,261.158340620193,3,0.4375,0.5625,15,18,1,262.158340620193
33,2,1,1,2,0,0,2,1,1,NaN,2,0.5,2@,2@,1,0,27949.9664322,262.1696548,265.545602769576,267.117122600001,268.481190400002,2.93558763042529,268.6171617,269.309790032159,3,0.454545454545455,0.545454545454545,15,19,0,270.309790032159
34,2,1,1,2,0,0,2,1,2,NaN,1,0.5,2@,4$,0,0,27949.9664322,270.327203299999,272.446574406193,274.0176784,274.0350119,1.58843749380685,275.5177234,276.105215004776,3,0.441176470588235,0.558823529411765,16,19,1,277.105215004776
