subject	roi_set	roi_id	signal	modality	run	beta
01	surprise	surprise_1	surprise	tactile	1	0.02566317648254276
01	surprise	surprise_2	surprise	tactile	1	0.09952354342880143
01	surprise	surprise_3	surprise	tactile	1	-0.1467408530569325
01	surprise	surprise_4	surprise	tactile	1	0.012124078880263438
01	rpe	rpe_10	surprise	tactile	1	-0.09230350727113207
01	rpe	rpe_11	surprise	tactile	1	-0.07567836745184357
01	rpe	rpe_1	surprise	tactile	1	0.003345869737904798
01	rpe	rpe_2	surprise	tactile	1	0.013088628163155263
01	rpe	rpe_3	surprise	tactile	1	0.002443467594937167
01	rpe	rpe_4	surprise	tactile	1	-0.0527693860562919
01	rpe	rpe_5	surprise	tactile	1	-0.11984867753807106
01	rpe	rpe_6	surprise	tactile	1	-0.11460352447132015
01	rpe	rpe_7	surprise	tactile	1	0.11108705617890165
01	rpe	rpe_8	surprise	tactile	1	-0.21647912290915505
01	rpe	rpe_9	surprise	tactile	1	0.21064437136549172
01	urpe	urpe_1	surprise	tactile	1	0.019966905178021518
01	urpe	urpe_2	surprise	tactile	1	0.07637663144277225
01	urpe	urpe_3	surprise	tactile	1	-0.06389368456462777
01	urpe	urpe_4	surprise	tactile	1	-0.050232094952912906
01	urpe	urpe_5	surprise	tactile	1	0.13870691849539676
01	urpe	urpe_6	surprise	tactile	1	-0.1747940563049818
01	urpe	urpe_7	surprise	tactile	1	-0.051717328194242254
01	surprise	surprise_1	urpe	tactile	1	0.6994815573006452
01	surprise	surprise_2	urpe	tactile	1	-0.14511772439118872
01	surprise	surprise_3	urpe	tactile	1	0.2319291629207631
01	surprise	surprise_4	urpe	tactile	1	-0.13923215731427682
01	rpe	rpe_10	urpe	tactile	1	-0.06160529428784367
01	rpe	rpe_11	urpe	tactile	1	0.15983277436156393
01	rpe	rpe_1	urpe	tactile	1	-0.40824639286424247
01	rpe	rpe_2	urpe	tactile	1	-0.26117780706128824
01	rpe	rpe_3	urpe	tactile	1	-0.07253471667045784
01	rpe	rpe_4	urpe	tactile	1	-0.21529544493820094
01	rpe	rpe_5	urpe	tactile	1	-0.010051425774865936
01	rpe	rpe_6	urpe	tactile	1	0.5332885869458074
01	rpe	rpe_7	urpe	tactile	1	0.30895469312530915
01	rpe	rpe_8	urpe	tactile	1	0.7936268451555473
01	rpe	rpe_9	urpe	tactile	1	-0.03097811971623097
01	urpe	urpe_1	urpe	tactile	1	-0.39473127141114206
01	urpe	urpe_2	urpe	tactile	1	0.1192420592242983
