roi_set	roi	test	kind	t	p	dz	n	p_holm
rpe	Angular gyrus L	rpe vs 0	onesample	9.588241936246993	1.715849811300732e-13	1.258997846044592	58	8.236079094243515e-12
rpe	Angular gyrus L	urpe vs 0	onesample	-3.0369784604058285	0.0036003113391441994	-0.3987748083077015	58	0.07920684946117239
rpe	Angular gyrus L	surprise vs 0	onesample	3.5089526566047375	0.0008858398412871666	0.46074805641241506	58	0.021260156190892
rpe	Angular gyrus L	urpe vs rpe	paired	-8.56427986848271	8.00704210309817e-12	-1.1245450395427987	58	7.52661957691228e-10
rpe	Angular gyrus L	urpe vs surprise	paired	-3.9042147890181584	0.00025264803778254756	-0.5126485170641487	58	0.008590033284606616
rpe	Angular gyrus L	rpe vs surprise	paired	7.589030675358141	3.3179166017188906e-10	0.9964885468442888	58	2.986124941547001e-08
rpe	Angular gyrus L	rpe vs neg_urpe	paired	4.792614111433724	1.2173759861290375e-05	0.6293010630455312	58	0.0006086879930645188
rpe	Angular gyrus L	surprise vs neg_urpe	paired	-1.5237444642231122	0.13310191951945577	-0.200077450186886	58	0.9317134366361903
rpe	Angular gyrus L	urpe vs neg_urpe	paired	-3.0369784604058285	0.0036003113391441994	-0.3987748083077015	58	0.08280716080031658
rpe	Caudate/putamen L	rpe vs 0	onesample	15.920266517739874	1.2161369590434442e-22	2.0904334066205	58	6.445525882930254e-21
rpe	Caudate/putamen L	urpe vs 0	onesample	-5.712848748145408	4.2270343574160293e-07	-0.750133790586105	58	1.6062730558180912e-05
rpe	Caudate/putamen L	surprise vs 0	onesample	-1.6326792915997925	0.10804920810777371	-0.21438129378390755	58	1.0
rpe	Caudate/putamen L	urpe vs rpe	paired	-15.038758406834724	1.692025213498737e-21	-1.974685721040632	58	1.7935467263086613e-19
rpe	Caudate/putamen L	urpe vs surprise	paired	-4.468498905769207	3.791194258062878e-05	-0.5867426515541281	58	0.001743949358708924
rpe	Caudate/putamen L	rpe vs surprise	paired	14.910535163205127	2.50113164924766e-21	1.957849184309926	58	2.626188231710043e-19
rpe	Caudate/putamen L	rpe vs neg_urpe	paired	10.324972730525598	1.1494241302690893e-14	1.3557353386192257	58	1.1494241302690893e-12
rpe	Caudate/putamen L	surprise vs neg_urpe	paired	-5.8340703343932505	2.6851020169032524e-07	-0.7660509646619065	58	1.8795714118322766e-05
rpe	Caudate/putamen L	urpe vs neg_urpe	paired	-5.712848748145408	4.2270343574160293e-07	-0.750133790586105	58	2.8743833630429e-05
rpe	Caudate/putamen R	rpe vs 0	onesample	16.378615154353948	3.208345107731527e-23	2.150617531100411	58	1.7325063581750246e-21
rpe	Caudate/putamen R	urpe vs 0	onesample	-5.3193302191453915	1.815538715455308e-06	-0.6984622762789077	58	5.809723889456985e-05
rpe	Caudate/putamen R	surprise vs 0	onesample	-2.012151408638809	0.04893844493866939	-0.2642084238420279	58	0.880892008896049
rpe	Caudate/putamen R	urpe vs rpe	paired	-15.180615403989329	1.1006485013630134e-21	-1.9933124573131946	58	1.1776938964584244e-19
rpe	Caudate/putamen R	urpe vs surprise	paired	-4.033689189364549	0.00016517356579187354	-0.5296493387202849	58	0.005781074802715574
rpe	Caudate/putamen R	rpe vs surprise	paired	15.620944882188207	2.942364222679864e-22	2.0511305503784723	58	3.1777533604942533e-20
rpe	Caudate/putamen R	rpe vs neg_urpe	paired	11.23244325791934	4.477300941926468e-16	1.474892056496629	58	4.611619970184262e-14
rpe	Caudate/putamen R	surprise vs neg_urpe	paired	-5.531077218107697	8.313873100682209e-07	-0.7262660193813993	58	5.404017515443436e-05
rpe	Caudate/putamen R	urpe vs neg_urpe	paired	-5.3193302191453915	1.815538715455308e-06	-0.6984622762789077	58	0.00010711678421186317
rpe	Cerebellum R	rpe vs 0	onesample	10.365188745469785	9.934189133526596e-15	1.3610159600853802	58	4.867752675428032e-13
rpe	Cerebellum R	urpe vs 0	onesample	-2.2033126867622834	0.03162914555477762	-0.2893091293733267	58	0.6009537655407747
rpe	Cerebellum R	surprise vs 0	onesample	-0.43798270051916965	0.663054152373512	-0.05750994605944033	58	1.0
rpe	Cerebellum R	urpe vs rpe	paired	-8.295770706067396	2.222278200653745e-11	-1.0892880592358918	58	2.066718726607983e-09
