source	parcel_id	name	signal	mean	sem	t	p	dz	frac_sig_pos	frac_sig_neg	p_holm
model7	1	Frontal Pole L	rpe	0.23603152178828443	0.02762351789587734	8.544585909657467	8.628225907742143e-12	1.1219590960605696			1.9586072810574665e-09
model7	1	Frontal Pole L	urpe	-0.06324835778471215	0.018994119117371262	-3.329891604547627	0.0015278557312574377	-0.4372361884026868	0.0	0.18941176470588236	0.2062605237197541
model7	1	Frontal Pole L	surprise	0.01573206004165885	0.011741136882879625	1.3399094311385296	0.18559217548025378	0.1759387277579004			1.0
model7	2	Frontal Pole R	rpe	0.10831166721245934	0.022126098038441577	4.895199642715139	8.446448860407258e-06	0.6427712032211131			0.00147812855057127
model7	2	Frontal Pole R	urpe	0.021409399645644565	0.014898659809307463	1.4370017115411764	0.15618428183477517	0.1886875687557879	0.16484659386375455	0.0514820592823713	1.0
model7	2	Frontal Pole R	surprise	0.0089463780636824	0.00949782971102971	0.941939194097477	0.3501989580499305	0.12368267554770156			1.0
model7	3	Insular Cortex L	rpe	0.07640108014439059	0.02906835285622236	2.62832505585318	0.011007535398754589	0.3451159874799122			1.0
model7	3	Insular Cortex L	urpe	-0.03151123293322334	0.02253527403093495	-1.3983070669549782	0.16743801570604616	-0.1836067130043994	0.08053691275167785	0.16778523489932887	1.0
model7	3	Insular Cortex L	surprise	0.0019177098492919162	0.010759643071690495	0.1782317346880742	0.8591729314321082	0.0234029733042915			1.0
model7	4	Insular Cortex R	rpe	0.03765087754546473	0.03229623726999529	1.1657976509989338	0.24855135998595224	0.15307673098891375			1.0
model7	4	Insular Cortex R	urpe	-0.05127557841537402	0.021582970067556138	-2.375742460601022	0.02089825149135831	-0.31195026789490016	0.13738019169329074	0.3514376996805112	1.0
model7	4	Insular Cortex R	surprise	-0.001178238565580859	0.01188694228507602	-0.09912040769812853	0.9213904455094124	-0.013015147158442644			1.0
model7	5	Superior Frontal Gyrus L	rpe	0.1601534543617398	0.029473635161158033	5.433786958617129	1.191473615690212e-06	0.7134911824556961			0.00022399703974975986
model7	5	Superior Frontal Gyrus L	urpe	-0.040336844811024224	0.01858298433408887	-2.170633310874066	0.03413857885440215	-0.2850181170973628	0.032116788321167884	0.1927007299270073	1.0
model7	5	Superior Frontal Gyrus L	surprise	0.03535963093839316	0.01098139734051385	3.2199573371177714	0.002118579049798893	0.4228011118974257			0.2690595393244594
