subject	name	signal	value
01	Caudate / Putamen R	rpe	0.10839702253481204
02	Caudate / Putamen R	rpe	0.45026085936739296
03	Caudate / Putamen R	rpe	0.49607822579634003
04	Caudate / Putamen R	rpe	0.22996155238703095
05	Caudate / Putamen R	rpe	0.33905872701437256
06	Caudate / Putamen R	rpe	0.1490289160843181
07	Caudate / Putamen R	rpe	-0.07776508553371686
09	Caudate / Putamen R	rpe	0.09145992993933694
10	Caudate / Putamen R	rpe	0.7360577986461022
11	Caudate / Putamen R	rpe	0.4255768344824946
12	Caudate / Putamen R	rpe	0.12865344718766103
14	Caudate / Putamen R	rpe	0.06952579934165506
15	Caudate / Putamen R	rpe	0.18380046982041207
17	Caudate / Putamen R	rpe	0.08132357249803093
18	Caudate / Putamen R	rpe	0.05005180179214757
19	Caudate / Putamen R	rpe	0.3174201664156286
20	Caudate / Putamen R	rpe	0.08752512129387625
21	Caudate / Putamen R	rpe	0.2861884700579945
22	Caudate / Putamen R	rpe	0.1328506447000136
23	Caudate / Putamen R	rpe	0.07337083450774322
24	Caudate / Putamen R	rpe	0.38258895928659903
25	Caudate / Putamen R	rpe	0.47571611986210843
26	Caudate / Putamen R	rpe	-0.18178725021358214
27	Caudate / Putamen R	rpe	0.35306613959144634
28	Caudate / Putamen R	rpe	0.2410831415839627
29	Caudate / Putamen R	rpe	0.30735146363935306
30	Caudate / Putamen R	rpe	0.2458301859094743
33	Caudate / Putamen R	rpe	0.12851242182219422
34	Caudate / Putamen R	rpe	0.0794771878701333
35	Caudate / Putamen R	rpe	0.20504706579841078
36	Caudate / Putamen R	rpe	0.11367401538127501
37	Caudate / Putamen R	rpe	0.2819003161085879
38	Caudate / Putamen R	rpe	-0.11166275772970871
39	Caudate / Putamen R	rpe	0.12368337686683913
40	Caudate / Putamen R	rpe	-0.034732327949543895
41	Caudate / Putamen R	rpe	0.54522533122154
42	Caudate / Putamen R	rpe	0.158582724814389
43	Caudate / Putamen R	rpe	0.17344120441983946
45	Caudate / Putamen R	rpe	0.32497239532754546
46	Caudate / Putamen R	rpe	0.08788443969614235
47	Caudate / Putamen R	rpe	0.4851567277617159
48	Caudate / Putamen R	rpe	0.36636043840698224
49	Caudate / Putamen R	rpe	0.30825708787826683
50	Caudate / Putamen R	rpe	0.10262847354379269
51	Caudate / Putamen R	rpe	0.4005766636257437
52	Caudate / Putamen R	rpe	0.21880489276988088
53	Caudate / Putamen R	rpe	0.11457385887357154
54	Caudate / Putamen R	rpe	0.16104440151314145
55	Caudate / Putamen R	rpe	0.29665489906904424
56	Caudate / Putamen R	rpe	0.3804745773966055
