name	n_vox	peak_x	peak_y	peak_z	peak_t	found_by	paper_dist_mm	rpe_pos	rpe_neg	urpe_pos	urpe_neg	surprise_pos	surprise_neg
Caudate / Putamen R	22285	14.5	14.5	-8.5	20.257370578175966	rpe +	5.0	1.0	0.0	0.0004487323311644604	0.1687233565178371	0.006057886470720216	0.0
Caudate / Putamen R (2)	1680	2.5	17.5	-8.5	8.10778550654578	urpe −	16.3	0.7654761904761904	0.0	0.0	1.0	0.0	0.0
Cingulate Gyrus L	901	-9.5	-30.5	44.0	8.004529200640798	urpe −		0.634850166481687	0.0	0.0	1.0	0.004439511653718091	0.0
Visual cortex (mid/lat occipital) L	823	-57.5	-66.5	2.0	7.378065778506331	urpe −	19.3	0.9331713244228432	0.0	0.0	1.0	0.0425273390036452	0.0
Middle Temporal Gyrus R	697	47.5	-81.5	2.0	7.307262157683917	urpe −		0.8809182209469153	0.0	0.0	1.0	0.00860832137733142	0.0
Inferior Parietal Lobule R	220	53.5	-24.5	19.5	5.923680784504265	urpe −		0.0	0.0	0.0	1.0	0.0	0.0
Postcentral Gyrus R	215	50.5	-21.5	54.5	6.4322131916470715	urpe −		0.7581395348837209	0.0	0.0	1.0	0.0	0.0
DLPFC L	161	-33.5	32.5	40.5	6.635410344996715	urpe −	12.6	0.8695652173913043	0.0	0.0	1.0	0.15527950310559005	0.0
dmPFC R	143	2.5	32.5	37.0	8.018432458136942	urpe +	0.7	0.0	0.0	1.0	0.0	0.0	0.0
Superior frontal sulcus R	131	47.5	23.5	37.0	5.049338683084873	urpe +	0.7	0.0	0.0	1.0	0.0	0.0	0.0
Frontal middle gyrus R	127	32.5	59.5	2.0	5.463123266123218	urpe +	0.7	0.0	0.0	1.0	0.0	0.0	0.0
Inferior Frontal Gyrus L	119	-48.5	11.5	16.0	5.7315474514664375	rpe +		1.0	0.0	0.0	0.0	0.0	0.0
Insula R	118	35.5	23.5	-5.0	7.249183933571238	urpe +	0.7	0.0	0.05084745762711865	1.0	0.0	0.0	0.0
Inferior Parietal Lobule L	90	-48.5	-36.5	26.5	5.368321343998864	urpe −		0.05555555555555555	0.0	0.0	1.0	0.0	0.0
Superior Temporal Gyrus L	77	-51.5	-54.5	19.5	4.78815348169282	surprise +		0.7532467532467533	0.0	0.0	0.45454545454545453	1.0	0.0
Precuneus L	57	-3.5	-54.5	40.5	5.987555974030275	surprise +	0.9	0.2982456140350877	0.0	0.0	0.07017543859649122	1.0	0.0
Insula R (2)	53	47.5	23.5	2.0	6.481487246437404	rpe −	13.5	0.0	1.0	0.11320754716981132	0.0	0.0	0.0
Insula L	32	-33.5	26.5	-1.5	5.470666823220433	urpe +	0.9	0.0	0.0	1.0	0.0	0.0	0.0
DLPFC L (2)	31	-27.5	23.5	47.5	5.171666858575673	surprise +	0.9	0.967741935483871	0.0	0.0	0.8064516129032258	1.0	0.0
Inferior parietal lobule R	27	44.5	-45.5	47.5	4.679358788211899	urpe +	0.9	0.37037037037037035	0.0	1.0	0.0	0.0	0.0
Angular gyrus R	27	47.5	-72.5	33.5	4.972105755966854	surprise +	3.6	0.9629629629629629	0.0	0.0	0.2222222222222222	1.0	0.0
