subject	name	signal	value
01	Caudate / Putamen R	rpe	0.09606536638436172
02	Caudate / Putamen R	rpe	0.483606274910484
03	Caudate / Putamen R	rpe	0.5280511393014654
04	Caudate / Putamen R	rpe	0.2397157262249503
05	Caudate / Putamen R	rpe	0.3869049458277137
06	Caudate / Putamen R	rpe	0.1314120891571618
07	Caudate / Putamen R	rpe	-0.03685151949492185
09	Caudate / Putamen R	rpe	0.19431990744043343
10	Caudate / Putamen R	rpe	0.6636797048926353
11	Caudate / Putamen R	rpe	0.4563790577487614
12	Caudate / Putamen R	rpe	0.15451758000747792
14	Caudate / Putamen R	rpe	0.1748751081515599
15	Caudate / Putamen R	rpe	0.1841979333257445
17	Caudate / Putamen R	rpe	0.15127532495779897
18	Caudate / Putamen R	rpe	0.08373406419770427
19	Caudate / Putamen R	rpe	0.37229519792558435
20	Caudate / Putamen R	rpe	0.15136967529231934
21	Caudate / Putamen R	rpe	0.32195357155779325
22	Caudate / Putamen R	rpe	0.11959106743862571
23	Caudate / Putamen R	rpe	0.07439225234173628
24	Caudate / Putamen R	rpe	0.4474788763902655
25	Caudate / Putamen R	rpe	0.3853745602184616
26	Caudate / Putamen R	rpe	-0.19253197483883663
27	Caudate / Putamen R	rpe	0.37390645485774915
28	Caudate / Putamen R	rpe	0.2895126008909286
29	Caudate / Putamen R	rpe	0.24128242145408124
30	Caudate / Putamen R	rpe	0.29954723368018754
33	Caudate / Putamen R	rpe	0.11701465269504628
34	Caudate / Putamen R	rpe	0.11485430049463395
35	Caudate / Putamen R	rpe	0.23868609396804394
36	Caudate / Putamen R	rpe	0.18387851514076095
37	Caudate / Putamen R	rpe	0.26569158479778465
38	Caudate / Putamen R	rpe	-0.020990394799712046
39	Caudate / Putamen R	rpe	0.23631484292325425
40	Caudate / Putamen R	rpe	-0.013432706448349192
41	Caudate / Putamen R	rpe	0.5805402076502787
42	Caudate / Putamen R	rpe	0.201643010685499
43	Caudate / Putamen R	rpe	0.21478986066278943
45	Caudate / Putamen R	rpe	0.3216404597579414
46	Caudate / Putamen R	rpe	0.0896518158511013
47	Caudate / Putamen R	rpe	0.5056374041984343
48	Caudate / Putamen R	rpe	0.306660011178532
49	Caudate / Putamen R	rpe	0.39027350340705474
50	Caudate / Putamen R	rpe	0.11888015927688196
51	Caudate / Putamen R	rpe	0.5000525034863704
52	Caudate / Putamen R	rpe	0.26214725985230264
53	Caudate / Putamen R	rpe	0.12978570014848617
54	Caudate / Putamen R	rpe	0.16194084538605227
55	Caudate / Putamen R	rpe	0.3721624018438579
56	Caudate / Putamen R	rpe	0.3143693731768787
57	Caudate / Putamen R	rpe	0.16171319109322593
58	Caudate / Putamen R	rpe	0.4047316796054156
59	Caudate / Putamen R	rpe	0.03945255121686427
60	Caudate / Putamen R	rpe	0.11139093734526447
61	Caudate / Putamen R	rpe	0.2449450875839871
62	Caudate / Putamen R	rpe	0.045867150506306645
63	Caudate / Putamen R	rpe	-0.15173011278195306
64	Caudate / Putamen R	rpe	0.2844076676453914
01	Caudate / Putamen R	urpe	0.061977144860767046
02	Caudate / Putamen R	urpe	-0.282739106882272
03	Caudate / Putamen R	urpe	-0.08344994138050814
04	Caudate / Putamen R	urpe	-0.3355427009074004
05	Caudate / Putamen R	urpe	-0.1483746014867415
06	Caudate / Putamen R	urpe	-0.03146103147532922
07	Caudate / Putamen R	urpe	0.007629072279690638
09	Caudate / Putamen R	urpe	-0.22025297666463375
10	Caudate / Putamen R	urpe	-0.2543795435876544
11	Caudate / Putamen R	urpe	-0.06740463305816809
12	Caudate / Putamen R	urpe	-0.03527218824772917
14	Caudate / Putamen R	urpe	-0.18972019018157935
15	Caudate / Putamen R	urpe	0.039713890688943605
17	Caudate / Putamen R	urpe	-0.19648389598429666
18	Caudate / Putamen R	urpe	0.04919995702609623
19	Caudate / Putamen R	urpe	-0.10000879533617754
20	Caudate / Putamen R	urpe	-0.15723064906618345
21	Caudate / Putamen R	urpe	0.03138514146185659
22	Caudate / Putamen R	urpe	0.042368284861240356
23	Caudate / Putamen R	urpe	0.08733303410767973
24	Caudate / Putamen R	urpe	-0.28637670986594504
25	Caudate / Putamen R	urpe	-0.0941856519303958
26	Caudate / Putamen R	urpe	0.022967074620118964
27	Caudate / Putamen R	urpe	-0.02568854093083871
28	Caudate / Putamen R	urpe	0.017921403127413152
29	Caudate / Putamen R	urpe	0.17781650917848238
30	Caudate / Putamen R	urpe	-0.09834802136282138
33	Caudate / Putamen R	urpe	-0.003607031438657369
34	Caudate / Putamen R	urpe	0.07040397852669657
35	Caudate / Putamen R	urpe	-0.12512494975598293
36	Caudate / Putamen R	urpe	-0.1980000343994678
37	Caudate / Putamen R	urpe	0.0703598246528863
38	Caudate / Putamen R	urpe	-0.21051922795604847
39	Caudate / Putamen R	urpe	-0.2095864157077073
40	Caudate / Putamen R	urpe	-0.012587378967785863
41	Caudate / Putamen R	urpe	-0.09054574273944975
