parcel_id	name	n_vox	n_sig_vox	com_x	com_y	com_z
1	Frontal Pole L	1700	1283	-24.75235294117647	52.46411764705883	8.104411764705873
2	Frontal Pole R	1923	833	26.542121684867396	51.34399375975039	9.804472178887153
3	Insular Cortex L	298	135	-36.61073825503356	1.4228187919463267	-0.043624161073822165
4	Insular Cortex R	313	169	37.531948881789134	2.931309904153352	-0.6948881789137431
5	Superior Frontal Gyrus L	685	399	-13.459124087591249	19.948175182481748	55.5014598540146
6	Superior Frontal Gyrus R	603	277	14.455223880597032	19.514925373134332	56.467661691542276
7	Middle Frontal Gyrus L	705	434	-38.40638297872341	18.334042553191495	42.03900709219859
8	Middle Frontal Gyrus R	639	375	39.53286384976525	18.48591549295776	42.860719874804374
9	Inferior Frontal Gyrus, pars triangularis L	150	106	-49.980000000000004	28.639999999999986	8.463333333333338
10	Inferior Frontal Gyrus, pars triangularis R	119	23	52.39075630252103	27.911764705882348	7.058823529411754
11	Inferior Frontal Gyrus, pars opercularis L	193	90	-50.909326424870464	14.904145077720216	15.492227979274617
12	Inferior Frontal Gyrus, pars opercularis R	167	38	52.00898203592814	15.362275449101787	16.356287425149702
13	Precentral Gyrus L	1096	638	-33.634124087591246	-11.65419708029198	49.04881386861314
14	Precentral Gyrus R	1033	594	34.65779283639884	-10.652952565343668	50.0513068731849
17	Superior Temporal Gyrus, anterior division L	66	23	-55.77272727272727	-2.9090909090909065	-9.242424242424235
18	Superior Temporal Gyrus, anterior division R	66	31	57.363636363636374	-0.818181818181813	-10.88636363636364
19	Superior Temporal Gyrus, posterior division L	218	111	-60.472477064220186	-27.37614678899081	2.0802752293577953
20	Superior Temporal Gyrus, posterior division R	238	64	60.256302521008394	-23.68067226890757	1.455882352941174
21	Middle Temporal Gyrus, anterior division L	113	95	-57.3141592920354	-3.5796460176991047	-22.871681415929203
22	Middle Temporal Gyrus, anterior division R	100	63	57.579999999999984	-2.1499999999999773	-24.564999999999998
23	Middle Temporal Gyrus, posterior division L	326	247	-61.217791411042946	-27.417177914110425	-11.667177914110425
24	Middle Temporal Gyrus, posterior division R	285	55	60.794736842105266	-23.1421052631579	-12.650877192982463
25	Middle Temporal Gyrus, temporooccipital part L	210	189	-57.3	-53.25714285714285	1.1499999999999915
26	Middle Temporal Gyrus, temporooccipital part R	273	179	57.86263736263737	-49.41208791208791	1.6282051282051242
29	Inferior Temporal Gyrus, posterior division L	237	189	-54.006329113924046	-28.82911392405063	-25.867088607594937
30	Inferior Temporal Gyrus, posterior division R	224	99	53.56696428571428	-23.066964285714292	-28.546875
31	Inferior Temporal Gyrus, temporooccipital part L	179	179	-52.06983240223464	-53.05865921787709	-17.04469273743016
